country,newCases,date
Zimbabwe,2689,2021/12/21
Georgia,2676,2021/12/28
Thailand,2671,2021/12/24
Iran,2651,2021/12/15
Zambia,2649,2021/12/25
Brazil,2639,2021/12/20
Mexico,2627,2021/12/16
Malaysia,2589,2021/12/20
Finland,2584,2021/12/29
Thailand,2575,2021/12/29
Burundi,2567,2021/12/27
Thailand,2532,2021/12/22
Namibia,2531,2021/12/24
Mexico,2530,2021/12/19
Austria,2528,2021/12/21
Thailand,2525,2021/12/20
Ghana,2521,2021/12/27
Georgia,2514,2021/12/29
Laos,2508,2021/12/24
Iran,2500,2021/12/16
Thailand,2476,2021/12/21
Colombia,2475,2021/12/23
Jordan,2448,2021/12/22
Mozambique,2445,2021/12/23
Democratic Republic of Congo,2444,2021/12/29
Ukraine,2419,2021/12/28
Austria,2416,2021/12/28
Iran,2413,2021/12/21
Peru,2395,2021/12/21
Iran,2390,2021/12/20
Brazil,2381,2021/12/18
Austria,2374,2021/12/24
Mozambique,2337,2021/12/22
Ethiopia,2323,2021/12/21
Thailand,2305,2021/12/28
Serbia,2296,2021/12/21
Madagascar,2295,2021/12/25
Democratic Republic of Congo,2290,2021/12/27
Lebanon,2280,2021/12/28
Austria,2269,2021/12/22
Norway,2268,2021/12/24
Iceland,2253,2021/12/27
Austria,2242,2021/12/19
Cyprus,2241,2021/12/28
Jordan,2239,2021/12/23
United Arab Emirates,2234,2021/12/29
Namibia,2227,2021/12/18
Finland,2225,2021/12/15
Botswana,2220,2021/12/16
Ecuador,2219,2021/12/27
Lithuania,2215,2021/12/15
Norway,2214,2021/12/26
Iran,2196,2021/12/17
Georgia,2195,2021/12/19
Kenya,2169,2021/12/18
Austria,2167,2021/12/18
Georgia,2164,2021/12/23
Austria,2147,2021/12/23
Iran,2128,2021/12/28
Bolivia,2119,2021/12/17
Lebanon,2119,2021/12/24
Zimbabwe,2106,2021/12/19
Iran,2103,2021/12/22
Zimbabwe,2099,2021/12/28
Georgia,2090,2021/12/25
Austria,2085,2021/12/25
Rwanda,2083,2021/12/29
Democratic Republic of Congo,2081,2021/12/15
Finland,2079,2021/12/17
Mozambique,2068,2021/12/21
Colombia,2066,2021/12/15
Lithuania,2062,2021/12/29
Peru,2052,2021/12/23
Finland,2042,2021/12/21
Colombia,2038,2021/12/19
Ukraine,2038,2021/12/27
Lebanon,2017,2021/12/25
Czechia,2017,2021/12/27
Colombia,2016,2021/12/18
Bulgaria,2001,2021/12/20
Norway,1989,2021/12/25
Hungary,1985,2021/12/21
Finland,1981,2021/12/16
Georgia,1976,2021/12/24
Iran,1968,2021/12/19
Iran,1967,2021/12/24
Iran,1967,2021/12/27
Bulgaria,1966,2021/12/23
Lithuania,1957,2021/12/16
Lebanon,1941,2021/12/15
Nigeria,1940,2021/12/23
Zimbabwe,1940,2021/12/23
Croatia,1936,2021/12/19
Iran,1932,2021/12/23
Colombia,1931,2021/12/22
Cyprus,1925,2021/12/27
Lebanon,1922,2021/12/22
Belarus,1921,2021/12/24
Jordan,1920,2021/12/18
Lebanon,1912,2021/12/16
Bolivia,1909,2021/12/23
Zambia,1906,2021/12/21
Iran,1905,2021/12/29
Ecuador,1904,2021/12/24
Bulgaria,1883,2021/12/21
Ghana,1881,2021/12/26
Slovakia,1878,2021/12/20
Gabon,1871,2021/12/27
Slovenia,1867,2021/12/29
Ethiopia,1864,2021/12/27
Angola,1859,2021/12/24
Iran,1857,2021/12/26
United Arab Emirates,1846,2021/12/28
Slovenia,1813,2021/12/28
Lebanon,1806,2021/12/21
Serbia,1804,2021/12/29
Colombia,1803,2021/12/17
United Arab Emirates,1803,2021/12/26
Bolivia,1800,2021/12/16
Mozambique,1793,2021/12/19
Austria,1792,2021/12/20
Peru,1782,2021/12/22
Nigeria,1772,2021/12/20
Lithuania,1772,2021/12/23
Bolivia,1766,2021/12/15
Colombia,1766,2021/12/21
Belarus,1765,2021/12/15
Israel,1745,2021/12/23
United Arab Emirates,1732,2021/12/27
Bulgaria,1725,2021/12/15
Peru,1724,2021/12/17
Lithuania,1724,2021/12/18
Lithuania,1722,2021/12/22
Colombia,1720,2021/12/16
Austria,1717,2021/12/26
Laos,1702,2021/12/17
Colombia,1699,2021/12/20
Costa Rica,1696,2021/12/28
Panama,1692,2021/12/25
Lebanon,1690,2021/12/18
Angola,1688,2021/12/29
